Thread number, Size, Block size, Epsilon, Iteration number, Time, Boost, Maximal error, Average error
8, 500, 64, 0.000100, 6366,  1.7644,    2.27,    1.31,    0.62
8, 500, 64, 0.000010, 49948, 13.8103,    2.39,    0.25,    0.10
8, 500, 128, 0.000100, 6366,  2.3919,    1.67,    1.31,    0.62
8, 500, 128, 0.000010, 49948, 18.6585,    1.88,    0.25,    0.10
8, 500, 256, 0.000100, 6366,  3.8154,    1.05,    1.31,    0.62
8, 500, 256, 0.000010, 49948, 29.8972,    1.24,    0.25,    0.10
8, 1000, 16, 0.000100, 6513,  4.7009,    3.19,    1.60,    0.84
8, 1000, 16, 0.000010, 63594, 46.3846,    3.23,    0.95,    0.40
8, 1000, 64, 0.000100, 6513,  5.5050,    3.45,    1.60,    0.84
8, 1000, 64, 0.000010, 63594, 52.6862,    3.51,    0.95,    0.40
8, 1000, 128, 0.000100, 6513,  6.6916,    2.84,    1.60,    0.84
8, 1000, 128, 0.000010, 63594, 67.0435,    2.89,    0.95,    0.40
8, 1000, 256, 0.000100, 6513, 11.1783,    1.79,    1.60,    0.84
8, 1000, 256, 0.000010, 63594, 112.7845,    1.76,    0.95,    0.40
8, 2000, 16, 0.000100, 6573, 23.6899,    3.17,    1.74,    0.97
8, 2000, 16, 0.000010, 64333, 232.7054,    3.22,    1.44,    0.71
8, 2000, 64, 0.000100, 6573, 24.6252,    3.57,    1.74,    0.97
8, 2000, 64, 0.000010, 64333, 227.8705,    3.78,    1.44,    0.71
8, 2000, 128, 0.000100, 6573, 29.4064,    2.99,    1.74,    0.97
8, 2000, 128, 0.000010, 64333, 264.5746,    3.26,    1.44,    0.71
8, 2000, 256, 0.000100, 6573, 34.5176,    2.55,    1.74,    0.97
8, 2000, 256, 0.000010, 64333, 349.2799,    2.46,    1.44,    0.71
12, 10, 16, 0.000100, 64,  0.0005,    0.00,    0.00,    0.00
12, 10, 16, 0.000010, 82,  0.0001,    0.00,    0.00,    0.00
12, 10, 64, 0.000100, 64,  0.0001,    0.00,    0.00,    0.00
12, 10, 64, 0.000010, 82,  0.0001,    0.00,    0.00,    0.00
12, 10, 128, 0.000100, 64,  0.0001,    0.00,    0.00,    0.00
12, 10, 128, 0.000010, 82,  0.0001,    0.00,    0.00,    0.00
12, 10, 256, 0.000100, 64,  0.0001,    0.00,    0.00,    0.00
12, 10, 256, 0.000010, 82,  0.0001,    0.00,    0.00,    0.00
12, 60, 16, 0.000100, 1392,  0.0199,    0.00,    0.04,    0.01
12, 60, 16, 0.000010, 2204,  0.0331,    0.00,    0.00,    0.00
12, 60, 64, 0.000100, 1392,  0.0242,    0.00,    0.04,    0.01
12, 60, 64, 0.000010, 2204,  0.0379,    0.00,    0.00,    0.00
12, 60, 128, 0.000100, 1392,  0.0240,    0.00,    0.04,    0.01
12, 60, 128, 0.000010, 2204,  0.0388,    0.00,    0.00,    0.00
12, 60, 256, 0.000100, 1392,  0.0240,    0.00,    0.04,    0.01
12, 60, 256, 0.000010, 2204,  0.0382,    0.00,    0.00,    0.00
12, 100, 16, 0.000100, 2891,  0.0940,    0.00,    0.10,    0.04
12, 100, 16, 0.000010, 5177,  0.1662,    0.00,    0.01,    0.00
12, 100, 64, 0.000100, 2891,  0.1158,    0.00,    0.10,    0.04
12, 100, 64, 0.000010, 5177,  0.2070,    0.00,    0.01,    0.00
12, 100, 128, 0.000100, 2891,  0.1393,    0.00,    0.10,    0.04
12, 100, 128, 0.000010, 5177,  0.2493,    0.00,    0.01,    0.00
12, 100, 256, 0.000100, 2891,  0.1389,    0.00,    0.10,    0.04
12, 100, 256, 0.000010, 5177,  0.2484,    0.00,    0.01,    0.00
12, 500, 16, 0.000100, 6366,  1.5636,    1.28,    1.31,    0.62
12, 500, 16, 0.000010, 49948, 12.1904,    1.89,    0.25,    0.10
12, 500, 64, 0.000100, 6366,  2.1332,    1.88,    1.31,    0.62
12, 500, 64, 0.000010, 49948, 16.6152,    1.99,    0.25,    0.10
12, 500, 128, 0.000100, 6366,  3.6005,    1.11,    1.31,    0.62
12, 500, 128, 0.000010, 49948, 25.8750,    1.35,    0.25,    0.10
12, 500, 256, 0.000100, 6366,  4.7354,    0.84,    1.31,    0.62
12, 500, 256, 0.000010, 49948, 37.1054,    1.00,    0.25,    0.10
12, 1000, 16, 0.000100, 6513,  4.2769,    3.51,    1.60,    0.84
12, 1000, 16, 0.000010, 63594, 40.9851,    3.66,    0.95,    0.40
12, 1000, 64, 0.000100, 6513,  5.2546,    3.62,    1.60,    0.84
12, 1000, 64, 0.000010, 63594, 51.0655,    3.62,    0.95,    0.40
12, 1000, 128, 0.000100, 6513,  8.4248,    2.26,    1.60,    0.84
12, 1000, 128, 0.000010, 63594, 81.5373,    2.38,    0.95,    0.40
12, 1000, 256, 0.000100, 6513, 13.8634,    1.44,    1.60,    0.84
12, 1000, 256, 0.000010, 63594, 140.2576,    1.41,    0.95,    0.40
12, 2000, 16, 0.000100, 6573, 19.4254,    3.86,    1.74,    0.97
12, 2000, 16, 0.000010, 64333, 191.1959,    3.92,    1.44,    0.71
12, 2000, 64, 0.000100, 6573, 20.6967,    4.25,    1.74,    0.97
12, 2000, 64, 0.000010, 64333, 203.8292,    4.23,    1.44,    0.71
12, 2000, 128, 0.000100, 6573, 25.2094,    3.49,    1.74,    0.97
12, 2000, 128, 0.000010, 64333, 245.7509,    3.51,    1.44,    0.71
12, 2000, 256, 0.000100, 6573, 37.1493,    2.37,    1.74,    0.97
12, 2000, 256, 0.000010, 64333, 362.3404,    2.37,    1.44,    0.71
