Thread number, Size, Block size, Epsilon, Iteration number, Time, Boost, Maximal error, Average error
8, 500, 64, 0.100000, 6810,  2.1071,    1.90,  943.24,  335.14
8, 500, 64, 0.010000, 35723, 11.0615,    2.08,  236.11,   94.07
8, 500, 128, 0.100000, 6810,  3.7757,    1.06,  943.24,  335.14
8, 500, 128, 0.010000, 35723, 19.7936,    1.26,  236.11,   94.07
8, 500, 256, 0.100000, 6810,  6.4473,    0.78,  943.24,  335.14
8, 500, 256, 0.010000, 35723, 33.8171,    0.77,  236.11,   94.07
8, 1000, 16, 0.100000, 8527,  6.4943,    3.23, 1495.90,  480.00
8, 1000, 16, 0.010000, 54281, 40.7064,    3.32,  629.86,  235.96
8, 1000, 64, 0.100000, 8527,  7.5982,    3.29, 1495.90,  480.00
8, 1000, 64, 0.010000, 54281, 48.3386,    3.35,  629.86,  235.96
8, 1000, 128, 0.100000, 8527, 10.0824,    2.58, 1495.90,  480.00
8, 1000, 128, 0.010000, 54281, 64.1633,    2.59,  629.86,  235.96
8, 1000, 256, 0.100000, 8527, 16.0449,    1.62, 1495.90,  480.00
8, 1000, 256, 0.010000, 54281, 102.1482,    1.65,  629.86,  235.96
8, 2000, 16, 0.100000, 9617, 32.5930,    3.47, 2018.81,  592.27
8, 2000, 16, 0.010000, 74244, 254.2941,    3.43, 1123.22,  387.42
8, 2000, 64, 0.100000, 9617, 36.0151,    3.61, 2018.81,  592.27
8, 2000, 64, 0.010000, 74244, 271.0030,    3.57, 1123.22,  387.42
8, 2000, 128, 0.100000, 9617, 41.7844,    3.09, 2018.81,  592.27
8, 2000, 128, 0.010000, 74244, 315.6866,    3.18, 1123.22,  387.42
8, 2000, 256, 0.100000, 9617, 53.0508,    2.41, 2018.81,  592.27
8, 2000, 256, 0.010000, 74244, 405.1489,    2.45, 1123.22,  387.42
12, 10, 16, 0.100000, 61,  0.0005,    0.00,    0.67,    0.21
12, 10, 16, 0.010000, 79,  0.0001,    0.00,    0.07,    0.02
12, 10, 64, 0.100000, 61,  0.0001,    0.00,    0.67,    0.21
12, 10, 64, 0.010000, 79,  0.0001,    0.00,    0.07,    0.02
12, 10, 128, 0.100000, 61,  0.0001,    0.00,    0.67,    0.21
12, 10, 128, 0.010000, 79,  0.0001,    0.00,    0.07,    0.02
12, 10, 256, 0.100000, 61,  0.0001,    0.00,    0.67,    0.21
12, 10, 256, 0.010000, 79,  0.0001,    0.00,    0.07,    0.02
12, 60, 16, 0.100000, 1182,  0.0177,    0.00,   35.21,   13.79
12, 60, 16, 0.010000, 1994,  0.0295,    0.00,    3.52,    1.38
12, 60, 64, 0.100000, 1182,  0.0115,    0.00,   35.21,   13.79
12, 60, 64, 0.010000, 1994,  0.0187,    0.00,    3.52,    1.38
12, 60, 128, 0.100000, 1182,  0.0112,    0.00,   35.21,   13.79
12, 60, 128, 0.010000, 1994,  0.0187,    0.00,    3.52,    1.38
12, 60, 256, 0.100000, 1182,  0.0111,    0.00,   35.21,   13.79
12, 60, 256, 0.010000, 1994,  0.0187,    0.00,    3.52,    1.38
12, 100, 16, 0.100000, 2285,  0.0772,    0.00,   98.65,   39.13
12, 100, 16, 0.010000, 4566,  0.1531,    0.00,    9.92,    3.94
12, 100, 64, 0.100000, 2285,  0.0682,    0.00,   98.65,   39.13
12, 100, 64, 0.010000, 4566,  0.1368,    0.00,    9.92,    3.94
12, 100, 128, 0.100000, 2285,  0.0622,    0.00,   98.65,   39.13
12, 100, 128, 0.010000, 4566,  0.1239,    0.00,    9.92,    3.94
12, 100, 256, 0.100000, 2285,  0.0620,    0.00,   98.65,   39.13
12, 100, 256, 0.010000, 4566,  0.1239,    0.00,    9.92,    3.94
12, 500, 16, 0.100000, 6810,  1.7277,    1.74,  943.24,  335.14
12, 500, 16, 0.010000, 35723,  9.0621,    1.88,  236.11,   94.07
12, 500, 64, 0.100000, 6810,  2.1088,    1.90,  943.24,  335.14
12, 500, 64, 0.010000, 35723, 11.0008,    2.09,  236.11,   94.07
12, 500, 128, 0.100000, 6810,  4.0305,    0.99,  943.24,  335.14
12, 500, 128, 0.010000, 35723, 20.9968,    1.19,  236.11,   94.07
12, 500, 256, 0.100000, 6810,  6.8056,    0.73,  943.24,  335.14
12, 500, 256, 0.010000, 35723, 30.4484,    0.85,  236.11,   94.07
